City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed
kieta,PG,-6.22,155.63,86.43,64,66,4.5
faanui,PF,-16.48,-151.75,83.17,68,61,9.17
ushuaia,AR,-54.8,-68.3,48.2,76,75,5.82
port alfred,ZA,-33.59,26.89,66.61,82,7,18.03
kodiak,US,57.79,-152.41,39.2,69,90,12.75
ribeira grande,PT,38.52,-28.7,58.1,76,44,19.48
chokurdakh,RU,70.63,147.92,1.22,92,100,3.62
walvis bay,NA,-22.96,14.51,61,91,13,1.99
pevek,RU,69.7,170.31,12.16,88,100,27.22
hermanus,ZA,-34.42,19.23,59.34,94,56,6.98
hithadhoo,MV,-0.6,73.08,83.53,68,79,8.63
lagoa,PT,39.05,-27.98,56.57,77,12,22.1
avarua,CK,-21.21,-159.78,86,74,20,8.05
vaini,TO,-21.2,-175.2,84.2,70,40,9.17
pisco,PE,-13.7,-76.22,73.51,30,75,13.87
east london,ZA,-33.02,27.91,66.79,82,6,17.96
gobabis,NA,-22.45,18.97,68,82,66,2.24
vinh,VN,18.67,105.67,76.17,91,81,5.21
trinidad,BO,-14.83,-64.9,86,74,40,3.36
vila velha,BR,-20.33,-40.29,78.06,83,20,6.93
zhangjiakou,CN,40.81,114.88,39.51,44,85,6.06
jining,CN,35.41,116.58,46.94,58,100,6.35
nabire,ID,-3.37,135.48,81.77,79,100,0.98
carnarvon,AU,-24.87,113.63,73.4,78,76,14.99
barranca,PE,-10.75,-77.77,74.88,72,63,8.77
rocha,UY,-34.48,-54.33,68.79,94,95,9.44
qaqortoq,GL,60.72,-46.03,42.8,88,100,4.7
tuktoyaktuk,CA,69.45,-133.04,-11.2,76,75,17.22
thompson,CA,55.74,-97.86,32,95,90,13.87
lavrentiya,RU,65.58,-171,7.48,86,3,3.06
sur,OM,22.57,59.53,75.38,58,0,10.11
iqaluit,CA,63.75,-68.51,5,71,20,19.46
williams lake,CA,52.14,-122.14,41,60,90,19.46
xining,CN,36.62,101.77,33.96,33,100,0.76
severo-kurilsk,RU,50.68,156.12,28.4,89,73,23.8
longyearbyen,SJ,78.22,15.64,1.4,70,75,14.99
atar,MR,20.52,-13.05,69.08,23,0,7.99
chapais,CA,49.78,-74.85,44.6,36,40,9.17
popondetta,PG,-8.75,148.25,83.93,66,98,2.01
tuatapere,NZ,-46.13,167.68,55.99,70,4,8.99
wilmington,US,34.23,-77.94,73.11,57,1,11.41
sabha,LY,27.04,14.43,74.07,17,11,8.08
mogadishu,SO,2.04,45.34,82.54,80,100,13.29
cape town,ZA,-33.93,18.42,62.53,88,20,11.41
ocos,GT,14.51,-92.19,92.43,49,5,11.41
byron bay,AU,-28.65,153.62,67.64,94,75,5.82
codrington,AU,-38.27,141.97,70.54,57,100,26.62
kahului,US,20.89,-156.47,77.65,42,40,21.92
tautira,PF,-17.73,-149.15,84.09,74,66,5.82
bukama,CD,-9.2,25.85,69.93,80,100,3.06
dunedin,NZ,-45.87,170.5,56.64,62,0,16.17
huilong,CN,31.81,121.66,46.71,73,100,13.31
georgetown,MY,5.41,100.34,78.4,94,20,3.36
portland,US,45.52,-122.68,50.72,71,90,12.75
buala,SB,-8.14,159.59,84.96,72,93,5.88
pundaguitan,PH,6.37,126.17,81.14,79,100,11.74
dunmore east,IE,52.15,-6.99,41.95,76,0,7
petilia policastro,IT,39.11,16.79,43.36,100,20,4.7
naze,JP,28.37,129.48,65.28,77,75,12.75
cuenca,EC,-2.88,-78.98,57.2,100,75,5.82
san luis,AR,-33.3,-66.34,69.22,42,0,7.38
charters towers,AU,-20.1,146.27,78.15,63,12,13.24
oistins,BB,13.07,-59.53,80.6,69,20,14.99
dingle,PH,11,122.67,80.71,72,58,11.83
luderitz,NA,-26.65,15.16,60.8,72,0,14.99
santarem,BR,-2.44,-54.71,82.4,83,98,4.7
barrow,US,71.29,-156.79,-9.4,69,1,8.05
udachnyy,RU,66.42,112.4,12.2,92,99,2.24
qaanaaq,GL,77.48,-69.36,7.07,84,100,10.47
sangueya,GN,10.7,-14.37,75.36,75,95,2.64
merrill,US,45.18,-89.68,40.24,93,90,14.99
malanje,AO,-9.54,16.34,65.91,70,99,2.3
kimbe,PG,-5.55,150.14,87.13,66,31,2.06
victoria,HK,22.29,114.16,67.42,88,40,25.28
porteirinha,BR,-15.74,-43.03,70.57,70,67,6.89
nikolskoye,RU,59.7,30.79,37.69,80,94,2.24
pili,PH,13.58,123.3,80.29,74,69,4.79
boende,CD,-0.22,20.87,72.55,76,0,1.92
kez,RU,57.9,53.72,37.98,89,100,10.47
clyde river,CA,70.47,-68.59,6.8,77,1,13.87
salalah,OM,17.02,54.09,78.8,74,40,10.29
los llanos de aridane,ES,28.66,-17.92,64.4,68,90,5.82
port elizabeth,ZA,-33.92,25.57,62.6,77,68,19.46
dubai,AE,25.26,55.3,80.37,47,84,13.87
san quintin,MX,30.48,-115.95,60.51,59,21,17.92
jiblah,YE,13.92,44.15,62.4,43,18,2.19
malmesbury,ZA,-33.46,18.73,62.31,88,20,11.41
phenix city,US,32.47,-85,84.09,48,20,10.29
palu,ID,-0.89,119.87,80.65,75,96,1.05
estevan,CA,49.13,-102.98,56.61,33,20,11.41
aklavik,CA,68.22,-135.01,-1.61,64,90,11.41
hilo,US,19.73,-155.09,75.94,57,20,6.93
nanortalik,GL,60.14,-45.24,38.07,84,100,34.87
marsh harbour,BS,26.54,-77.06,73.83,77,13,11.56
sitka,US,57.05,-135.33,34.68,80,90,8.05
balao,EC,-2.92,-79.82,86,62,75,4.7
nemuro,JP,43.32,145.57,32.7,88,100,7.34
salekhard,RU,66.53,66.6,22.17,96,83,7.25
bluff,NZ,-46.6,168.33,55.99,70,1,8.99
saint-augustin,CA,51.23,-58.65,23.77,93,61,5.37
pirapemas,BR,-3.73,-44.22,75.79,93,58,2.68
guatire,VE,10.48,-66.54,78.82,74,40,8.05
palmer,US,42.16,-72.33,44.01,81,90,4.59
tongchuan,CN,35.08,109.09,39.85,68,100,3.89
nampula,MZ,-15.12,39.27,71.6,94,40,6.93
mangrol,IN,21.12,70.12,71.91,70,0,12.84
marzuq,YE,14.4,46.47,67.91,48,7,4.76
cabo san lucas,MX,22.89,-109.91,76.19,47,5,10.29
ancud,CL,-41.87,-73.82,55.4,76,20,4.7
jibuti,DJ,11.5,42.5,82.4,78,75,8.05
izazi,TZ,-7.2,35.73,68.52,70,93,1.77
dikson,RU,73.51,80.55,3.49,94,96,6.31
mugla,TR,37.23,28.36,50.41,87,75,3.36
zemio,CF,5.03,25.14,72.05,72,65,3.56
gornopravdinsk,RU,60.05,69.9,31.77,97,97,8.32
hegang,CN,47.4,130.37,37.87,58,0,9.28
vila franca do campo,PT,37.72,-25.43,57.2,71,40,11.41
holbeach,GB,52.8,0.01,40.01,76,40,17.22
kerman,IR,30.28,57.08,50,76,75,4.7
arman,RU,59.7,150.17,21.45,95,96,24.92
myitkyina,MM,25.38,97.4,70.54,63,0,2.15
savelugu,GH,9.62,-0.83,92.75,38,23,7.02
dakar,SN,14.69,-17.44,68.74,88,56,11.41
olga,RU,43.74,135.29,36.73,69,0,7.14
nome,US,64.5,-165.41,10.4,55,1,21.92
waipawa,NZ,-41.41,175.52,51.01,100,99,40.26
ahipara,NZ,-35.17,173.17,66.07,61,23,7.78
alugan,PH,12.22,125.48,81.32,71,45,9.48
picos,BR,-7.08,-41.47,74.17,78,0,3.24
yakuplu,TR,40.99,28.68,47.59,93,75,14.99
faya,SA,18.39,42.45,64.4,33,7,6.93
aswan,EG,24.09,32.91,71.6,30,0,17.22
hermiston,US,45.84,-119.29,59.07,39,75,11.41
yulara,AU,-25.24,130.99,69.8,37,0,2.24
gisenyi,RW,-1.7,29.26,65.48,44,88,0.76
broome,US,42.25,-75.83,40.78,100,90,5.82
bolobo,CD,-2.17,16.23,78.22,64,0,2.82
wolfville,CA,45.08,-64.37,43.72,31,40,11.41
molango,MX,20.78,-98.72,71.74,43,3,7.54
meulaboh,ID,4.14,96.13,79.23,82,93,5.7
biloela,AU,-24.42,150.5,78.53,59,2,11.41
ponta do sol,PT,32.67,-17.1,55.96,77,40,6.93
mandalgovi,MN,45.76,106.27,28.63,42,0,7.43
orshanka,RU,56.92,47.89,37.18,91,61,9.08
alcaniz,ES,41.05,-0.13,43.5,85,21,5.82
benguela,AO,-12.58,13.41,78.46,80,100,2.86
ossora,RU,59.24,163.07,34.39,96,100,20.49
laguna,US,38.42,-121.42,54.14,76,90,4.7
mackay,AU,-21.15,149.2,77.5,88,75,9.17
chegdomyn,RU,51.12,133.02,24.19,88,71,4.7
saint-philippe,RE,-21.36,55.77,71.65,78,19,5.82
tema,GH,5.67,-0.02,80.6,94,33,6.93
leningradskiy,RU,69.38,178.42,11.28,87,100,14.85
alice springs,AU,-23.7,133.88,78.8,27,0,9.17
dukat,RU,62.55,155.55,17.4,88,99,9.71
vardo,NO,70.37,31.11,24.3,93,86,34.36
jacksonville,US,30.33,-81.66,86.38,28,20,10.29
novouzensk,RU,50.46,48.14,41.83,79,13,8.14
pochutla,MX,15.74,-96.47,88.93,55,20,11.41
concepcion,CL,-36.83,-73.05,64.4,77,29,10.29
trujillo,PE,-8.12,-79.03,73.4,78,22,10.29
cherskiy,RU,68.75,161.3,22.46,90,100,22.37
nouadhibou,MR,20.93,-17.03,64.4,77,1,14.99
porbandar,IN,21.64,69.61,71.74,81,0,12.53
cam ranh,VN,11.92,109.16,77,69,20,4.7
hofn,IS,64.25,-15.21,37.24,68,51,7.43
namibe,AO,-15.2,12.15,73.71,71,97,6.71
matara,LK,5.95,80.54,74.25,90,6,4.27
alofi,NU,-19.06,-169.92,84.2,70,20,12.75
namanga,KE,-2.54,36.79,64.22,60,100,2.39
tasiilaq,GL,65.61,-37.64,28.4,92,100,3.36
harda,IN,22.33,77.1,74.86,42,12,2.59
bambous virieux,MU,-20.34,57.76,78.42,94,40,1.12
edd,ER,13.93,41.69,84.07,62,20,14.18
terney,RU,45.05,136.61,37.08,67,0,8.14
puerto ayora,EC,-0.74,-90.35,82.15,74,20,11.41
muisne,EC,0.6,-80.03,80.6,83,75,10.29
tezu,IN,27.92,96.17,70.97,53,91,3.53
ilulissat,GL,69.22,-51.1,24.8,79,100,8.05
kawalu,ID,-7.38,108.21,76.14,76,68,1.88
bowen,AU,-20.02,148.23,79.56,83,40,11.41
lata,PT,40.16,-8.33,51.4,82,80,8.99
lafiagi,NG,8.87,5.42,86.92,58,4,7.99
boaco,NI,12.47,-85.66,93.2,44,20,13.87
sao joao da barra,BR,-21.64,-41.05,78.8,69,11,6.93
kokkola,FI,63.84,23.13,28.81,42,13,10.29
atbasar,KZ,51.8,68.33,26.53,96,100,8.75
keti bandar,PK,24.14,67.45,72.14,81,0,10.45
lingao,CN,19.91,109.69,76.46,82,5,12.37
weyburn,CA,49.67,-103.85,57,33,3,8.99
labuan,MY,5.28,115.24,77.49,100,75,5.53
mount gambier,AU,-37.83,140.77,69.8,56,90,21.92
alice,US,27.75,-98.07,77.36,36,90,18.34
wanning,CN,18.8,110.4,77.29,84,58,11.14
ixtapa,MX,20.7,-105.2,80.29,69,5,11.41
flinders,AU,-34.58,150.86,67.21,100,40,1.12
geraldton,AU,-28.77,114.6,62.2,63,98,11.41
lilongwe,MW,-13.97,33.79,61.59,68,87,3.96
yar-sale,RU,66.83,70.83,20.28,96,57,11.39
casian,PH,11.04,119.71,82,77,73,16.89
leshukonskoye,RU,64.9,45.76,25.5,93,91,14.2
ostrovnoy,RU,68.05,39.51,27.05,90,79,36.73
luau,AO,-10.71,22.22,66.4,70,100,2.3
kavieng,PG,-2.57,150.8,82.74,73,1,2.71
asgardstrand,NO,59.35,10.47,31.39,78,12,17.22
rawson,AR,-43.3,-65.1,58.21,62,97,8.05
tara,RU,56.89,74.37,25.11,98,67,8.1
anadyr,RU,64.75,177.48,6.35,50,97,13.42
pangody,RU,65.85,74.49,21.78,97,53,12.46
fez,MA,34.04,-5,53.6,81,40,8.05
hamilton,US,39.18,-84.53,75.43,61,20,16.11
mahebourg,MU,-20.41,57.7,78.49,94,40,1.12
port macquarie,AU,-31.43,152.92,66.99,100,90,1.12
cidreira,BR,-30.18,-50.21,73.96,84,49,16.26
kheralu,IN,23.88,72.62,70.77,31,0,7.09
nykoping,SE,58.75,17.01,37.31,44,51,11.41
maniitsoq,GL,65.42,-52.9,36.09,90,100,24.27
pangnirtung,CA,66.15,-65.71,6.51,82,100,2.71
husavik,IS,66.04,-17.34,37.4,64,40,36.91
sekoma,BW,-24.4,23.88,72.48,36,38,12.75
avera,US,33.19,-82.53,85.14,45,1,11.41
jacareacanga,BR,-6.22,-57.75,79.48,72,51,2.15
nipawin,CA,53.37,-104,37.4,55,1,14.99
gumrak,RU,48.78,44.38,37.4,47,25,11.18
kulhudhuffushi,MV,6.62,73.07,83.17,66,0,4.09
jasper,US,37.2,-94.35,68.79,56,1,29.97
torbay,CA,47.67,-52.73,33.33,97,90,5.82
bathsheba,BB,13.22,-59.52,80.6,69,20,14.99
ponot,PH,8.45,123.02,81.19,76,92,15.9
butaritari,KI,3.07,172.79,78.98,83,100,22.62
taksimo,RU,56.34,114.88,23.18,87,99,1.63
salym,RU,60.06,71.48,30.06,97,84,8.79
namatanai,PG,-3.67,152.43,83.59,72,90,4.34
bilma,NE,18.69,12.92,80.26,13,23,8.3
provideniya,RU,64.38,-173.3,10.09,76,0,2.95
grindavik,IS,63.84,-22.43,37.4,93,75,9.17
touros,BR,-5.2,-35.46,80.6,83,20,4.7
riyadh,SA,24.69,46.72,77,25,0,10.29
auki,SB,-8.77,160.7,84.83,71,94,5.3
bideford,GB,51.02,-4.2,43.18,70,58,13
rio grande,BR,-32.03,-52.1,77,73,0,14.99
katsuura,JP,35.13,140.3,43.52,87,75,17.22
inhambane,MZ,-23.86,35.38,72.79,73,0,7.83
boddam,GB,57.47,-1.78,36.68,59,75,11.41
beyneu,KZ,45.32,55.2,44.6,65,0,12.44
muzhi,RU,65.37,64.67,27.84,97,96,9.53
henties bay,NA,-22.12,14.28,61,91,6,1.99
klaksvik,FO,62.23,-6.59,37.4,64,97,12.75
gigmoto,PH,13.78,124.39,80.47,80,52,9.31
ust-tsilma,RU,65.44,52.15,32.85,95,100,12.3
wajid,SO,3.81,43.25,80.78,61,99,10.31
pandan,PH,14.05,124.17,80.4,80,58,8.46
katangli,RU,51.71,143.23,23.67,89,7,17.78
sisimiut,GL,66.94,-53.67,33.35,94,100,10.31
pinega,RU,64.7,43.39,26.06,93,90,13.85
hami,CN,42.8,93.45,42.84,35,55,2.77
tulun,RU,54.56,100.58,22.1,91,3,8.16
heihe,CN,50.24,127.49,28.4,54,0,6.71
bengkulu,ID,-3.8,102.27,78.19,78,99,5.01
la ronge,CA,55.1,-105.28,19.4,48,20,16.11
hillsboro,US,45.52,-122.99,50.83,76,90,11.41
kulunda,RU,52.57,78.94,26.08,97,97,8.05
yellandu,IN,17.6,80.33,79.52,45,36,2.71
oranjemund,NA,-28.55,16.43,57.97,92,2,8.39
fairbanks,US,64.84,-147.72,16.77,33,1,11.41
bondoukou,CI,8.03,-2.8,78.46,72,50,3.85
sola,VU,-13.88,167.55,78.8,94,90,12.1
druzhnaya gorka,RU,59.28,30.14,39.2,81,100,2.24
mujiayingzi,CN,42.12,118.78,39.15,40,0,7.11
coihaique,CL,-45.58,-72.07,51.8,62,40,10.29
acari,PE,-15.43,-74.62,73.76,66,24,2.89
del rio,US,29.36,-100.9,82.4,12,1,10.29
port hardy,CA,50.7,-127.42,46.4,87,90,10.29
asyut,EG,27.18,31.18,60.8,48,0,11.41
elk point,US,42.68,-96.68,42.44,100,75,24.16
san isidro,PE,-12.12,-77.05,73.4,78,59,10.29
chicama,PE,-7.84,-79.15,73.4,78,32,10.29
hasaki,JP,35.73,140.83,39.02,93,75,23.04
nioro,GM,13.35,-15.75,78.15,36,88,9.66
celestun,MX,20.87,-90.4,81.86,67,0,14.12
gat,IL,31.61,34.76,53.35,76,20,5.82
fortuna,US,40.6,-124.16,53.38,81,75,8.05
guerrero negro,MX,27.98,-114.06,66.16,38,0,16.2
vire,FR,48.92,-0.83,45.72,70,90,14.99
podosinovets,RU,60.28,47.07,34.41,89,90,6.13
lima,PE,-12.04,-77.03,73.4,78,65,10.29
half moon bay,US,37.46,-122.43,55.09,82,90,5.82
kushiro,JP,42.98,144.37,33.8,55,75,1.12
kanniyakumari,IN,8.08,77.57,81.34,72,3,4.56
talnakh,RU,69.49,88.4,1.4,84,40,8.95
muyezerskiy,RU,63.93,31.65,23.47,88,9,10.07
paita,PE,-5.09,-81.11,62.6,100,14,10.29
mehamn,NO,71.04,27.85,19.89,94,100,31.03
puerto escondido,MX,15.85,-97.07,86,79,40,5.82
ponta delgada,PT,37.73,-25.67,57.2,71,40,11.41
new norfolk,AU,-42.78,147.06,62.6,59,100,3.36
tianmen,CN,30.65,113.16,44.62,91,100,7.31
cayenne,GF,4.93,-52.33,78.8,100,100,4.7
arraial do cabo,BR,-22.97,-42.03,78.8,74,40,11.41
sorland,NO,67.67,12.69,28.65,88,92,27.69
vilyuysk,RU,63.76,121.62,6.35,93,95,6.38
dorado,PR,18.46,-66.27,77.72,74,75,12.75
jatiroto,ID,-7.88,111.12,77.4,79,89,1.45
rogers,US,36.37,-95.58,71.13,13,1,19.46
ban nahin,LA,18.24,104.21,78.53,67,58,3.06
saint-joseph,RE,-21.37,55.62,71.6,78,20,5.82
gornozavodsk,RU,58.38,58.32,34.27,88,100,10.27
ambulu,ID,-8.35,113.61,80.98,74,93,2.44
nara,JP,34.69,135.8,45.32,87,75,11.41
ballarpur,IN,19.83,79.35,82.38,33,28,4.41
west wendover,US,40.74,-114.07,50,34,90,9.17
maceio,BR,-9.67,-35.74,80.6,88,20,5.82
coquimbo,CL,-29.95,-71.34,66.2,68,20,11.41
lichinga,MZ,-13.31,35.24,58.42,71,89,3.85
pavilosta,LV,56.89,21.19,40.19,80,99,5.82
sao filipe,CV,14.9,-24.5,70.12,77,33,15.99
pacific grove,US,36.62,-121.92,54.27,67,90,5.82
tornio,FI,65.85,24.15,24.8,49,22,9.17
denpasar,ID,-8.65,115.22,80.6,100,20,4.7
port lincoln,AU,-34.73,135.87,67.26,68,45,14.52
kasempa,ZM,-13.46,25.83,63.18,67,99,4.61
butterworth,MY,5.4,100.36,78.4,94,20,3.36
belen,TR,36.49,36.22,54.79,100,75,2.24
maragogi,BR,-9.01,-35.22,80.8,79,20,6.15
presidencia roque saenz pena,AR,-26.79,-60.44,73.15,82,26,4.36
lesnoy,RU,57.62,63.08,33.13,90,46,9.26
la ciotat,FR,43.17,5.6,50.04,87,10,5.82
itaueira,BR,-7.6,-43.03,73.81,81,0,3.31
sept-iles,CA,50.2,-66.38,32.7,93,5,8.05
taoudenni,ML,22.68,-3.98,73.09,21,0,12.59
berlevag,NO,70.86,29.09,21.67,94,87,31.74
wajir,KE,1.75,40.06,79.79,72,96,8.34
kalmunai,LK,7.42,81.82,77.45,78,25,0.69
shimoda,JP,34.67,138.95,40.37,94,100,7
murgab,TM,37.5,61.97,48.2,57,0,4.7
whitehorse,CA,60.72,-135.05,7.29,39,75,3.36
jinchang,CN,38.5,102.17,40.86,30,10,4.34
kushikino,JP,31.72,130.27,47.14,100,40,8.05
hobyo,SO,5.35,48.53,81.68,79,60,9.93
kaitangata,NZ,-46.28,169.85,53.83,72,0,5.01
kavaratti,IN,10.57,72.64,83.3,70,34,7.38
bloomsburg,US,41,-76.45,44.71,93,90,11.41
ilhabela,BR,-23.78,-45.36,75.69,80,31,11.27
adrar,MR,20.5,-10.07,67.95,24,0,11.05
mokolo,CM,10.74,13.8,77.43,14,6,2.77
amahai,ID,-3.33,128.92,83.84,72,97,3.24
kumla,SE,59.13,15.14,33.04,52,68,5.01
banda aceh,ID,5.56,95.32,79.74,83,67,5.32
shenyang,CN,41.79,123.43,32,47,0,6.71
hambantota,LK,6.12,81.12,75.2,100,26,7.38
takaka,NZ,-40.85,172.8,57.42,82,99,1.01
keningau,MY,5.34,116.16,77,94,20,3.36
roald,NO,62.58,6.13,29.37,82,94,9.17
loandjili,CG,-4.76,11.86,84.2,89,40,6.93
saldanha,ZA,-33.01,17.94,60.8,87,12,9.17
amuntai,ID,-2.42,115.25,77.52,92,96,0.45
ozinki,RU,51.18,49.68,40.35,85,78,6.62
kirovskiy,RU,45.09,133.51,36.45,67,0,9.33
kitami,JP,43.8,143.89,36.88,67,100,6.24
sheridan,US,44.83,-106.92,49.46,27,75,24.16
luanda,AO,-8.84,13.23,80.6,83,40,11.41
ilebo,CD,-4.32,20.58,72.84,67,16,0.85
margate,GB,51.38,1.39,41.58,80,20,14.99
biltine,TD,14.53,20.92,84.02,12,1,14.25
mitsamiouli,KM,-11.38,43.28,83.93,69,93,4.45
grand gaube,MU,-20.01,57.66,78.3,94,40,1.12
souillac,MU,-20.52,57.52,78.44,94,40,1.12
northam,GB,51.03,-4.22,43,70,57,13
pascagoula,US,30.37,-88.56,79.95,74,75,13.87
monzon,ES,41.91,0.19,49.05,71,10,4.7
magadan,RU,59.57,150.8,23.13,95,98,20.89
muros,ES,42.78,-9.06,47.82,70,14,5.82
mangaratiba,BR,-22.96,-44.04,73.36,83,6,0.94
deputatskiy,RU,69.3,139.9,5.86,88,97,1.12
sao jose da coroa grande,BR,-8.9,-35.15,81.37,79,22,6.8
baruun-urt,MN,46.68,113.28,31.69,44,0,11.05
haines junction,CA,60.75,-137.51,7.18,77,100,6.08
masyaf,SY,35.07,36.34,59,82,75,4.7
ndola,ZM,-12.96,28.64,61.79,65,77,4.63
egvekinot,RU,66.32,-179.17,-0.87,76,80,4.21
along,IN,28.17,94.77,63.86,68,86,2.98
vostok,RU,46.49,135.88,27.61,76,0,8.68
xuddur,SO,4.12,43.89,78.76,61,97,12.66
camacha,PT,33.08,-16.33,60.8,77,20,8.05
cassilandia,BR,-19.11,-51.73,74.1,77,78,3.78
kuching,MY,1.55,110.33,78.42,94,20,1.01
llata,PE,-9.42,-76.78,50.94,33,100,0.45
san vicente de canete,PE,-13.08,-76.38,73.35,74,97,4.47
lwowek slaski,PL,51.11,15.59,40.35,78,91,7.07
neuquen,AR,-38.95,-68.06,77,33,15,10.29
vestmannaeyjar,IS,63.44,-20.27,40.87,77,49,10.33
berbera,SO,10.44,45.01,80.76,82,4,7.2
aksarka,RU,66.56,67.8,22.55,96,82,9.86
ayan,RU,56.45,138.17,20.43,85,37,17.98
ulaangom,MN,49.98,92.07,3.72,75,41,2.17
aberystwyth,GB,52.42,-4.08,39.16,74,3,10
kropotkin,RU,45.44,40.58,45.25,55,93,14.34
vredendal,ZA,-31.67,18.5,57.34,88,0,5.35
rivadavia,AR,-33.19,-68.46,82.4,39,20,9.17
agadir,MA,30.42,-9.6,60.8,82,0,13.87
konevo,RU,62.12,39.32,28.06,94,90,5.61
saint anthony,US,45.02,-93.22,42.66,87,90,18.34
black diamond,US,47.31,-122,52.54,66,90,13.87
shelburne,CA,44.08,-80.2,45.39,61,90,10.29
gorom-gorom,BF,14.44,-0.24,84.02,13,62,6.6
hanchuan,CN,30.65,113.77,44.6,93,90,4.47
genhe,CN,50.78,121.52,23.92,81,54,4.29
bud,US,39.45,-86.18,68.95,94,90,10.74
zhuhai,CN,22.28,113.57,67.91,88,40,19.46
suez,EG,29.97,32.53,58.41,64,0,5.14
axim,GH,4.87,-2.24,80.37,88,74,5.86
svetlaya,RU,46.54,138.33,34.36,78,0,12.46
carutapera,BR,-1.2,-46.02,80.22,85,47,9.93
port-gentil,GA,-0.72,8.78,81.9,82,64,12.59
bukachacha,RU,52.98,116.92,26.62,79,16,5.3
vao,NC,-22.67,167.48,75.72,74,94,19.73
bindura,ZW,-17.3,31.33,61.83,68,47,3.56
pimentel,PE,-6.84,-79.93,66.2,29,18,20.8
beloha,MG,-25.17,45.05,72.01,91,29,10.76
baton rouge,US,30.45,-91.15,85.71,51,20,20.8
sindor,RU,62.86,51.89,33.49,87,94,10.07
syracuse,IT,37.09,15.28,47.14,93,81,3.36
caohe,CN,30.23,115.43,43.59,89,100,6.58
zuwarah,LY,32.93,12.08,61.5,72,55,16.26
eirunepe,BR,-6.66,-69.87,78.06,82,81,2.1
tongzi,CN,28.78,105.09,52.81,76,100,3.65
hare bay,CA,48.85,-54.01,35.29,64,75,5.82
corn island,NI,12.17,-83.04,80.76,76,63,16.06
zaidpur,IN,26.83,81.33,66.2,82,0,4.7
kalabo,ZM,-14.97,22.68,66.25,65,1,4.92
xingyi,CN,24.19,102.82,58.51,37,0,4.81
araguacu,BR,-12.93,-49.83,74.8,85,100,2.55
tromso,NO,69.65,18.96,23,92,90,49.44
curaca,BR,-8.99,-39.91,76.86,70,65,14.63
alta,NO,69.97,23.27,23.83,92,90,39.15
cooma,AU,-36.23,149.13,53.6,100,75,11.41
morondava,MG,-20.28,44.28,77.18,84,23,1.28
marawi,PH,8,124.29,74.91,67,92,1.14
mitake,JP,35.42,137.13,44.08,100,75,6.93
turukhansk,RU,65.82,87.98,4.62,94,99,5.3
arkul,RU,57.28,50.04,37.13,92,47,10.47
